FID,CATEGORY,IFT_IOA,COUNTRY,Area_Ha,Shape__Are,Shape__Len
87273,Woodland,Broadleaved,England,54.720797637300002,547207.976356506347656,8426.668086061834401
87605,Woodland,Broadleaved,England,61.040665707099997,610406.657085418817587,8693.468639383439950
88156,Woodland,Broadleaved,England,59.427018845799999,594270.188440322875977,10610.907739330821641
88195,Woodland,Broadleaved,England,88.907666273800004,889076.662773132324219,14894.334002829944438
88595,Woodland,Broadleaved,England,56.833619832700002,568336.198385238647461,11800.834831534379191
88644,Woodland,Broadleaved,England,86.177260821900006,861772.608253479003906,17267.719940468454297
88869,Woodland,Broadleaved,England,58.685328464800001,586853.284675598144531,9623.957209527661689
89766,Woodland,Broadleaved,England,67.441359897900000,674413.599012374877930,8918.545864239622460
90085,Woodland,Broadleaved,England,59.138934574899999,591389.345726013300009,15217.266164036276678
90803,Woodland,Broadleaved,England,76.870285003500001,768702.850013732910156,10025.331854903695785
90821,Woodland,Broadleaved,England,78.084802237100007,780848.022405624389648,15683.683950550155714
91268,Woodland,Broadleaved,England,59.677458039199998,596774.580352783203125,6920.737099295567532
91534,Woodland,Broadleaved,England,52.520763564799999,525207.635637283325195,9480.017088693715777
91666,Woodland,Broadleaved,England,82.292380144000006,822923.801536560058594,14294.012723593714327
91702,Woodland,Broadleaved,England,85.560872337199996,855608.723403930547647,12662.435046142418287
91788,Woodland,Broadleaved,England,50.090434783100001,500904.347873687744141,12028.860278132751773
91809,Woodland,Broadleaved,England,52.717426875699999,527174.268695831298828,12920.565842137169966
91926,Woodland,Broadleaved,England,68.167476254999997,681674.762521743774414,7486.044291110375525
92041,Woodland,Broadleaved,England,50.452773102700000,504527.731002807617188,8898.267266232978727
92091,Woodland,Broadleaved,England,140.397414258999987,1403974.142692565917969,19484.902650365012960
92231,Woodland,Broadleaved,England,67.397653048500004,673976.530445098993368,12589.821744409266103
92232,Woodland,Broadleaved,England,56.251685139599999,562516.851375579833984,9808.810564180723304
92310,Woodland,Broadleaved,England,144.602372236000008,1446023.722347259521484,17026.703988409481099
92326,Woodland,Broadleaved,England,59.406748252600003,594067.482587814331055,11576.062209657324274
92531,Woodland,Broadleaved,England,84.801248725999997,848012.487184524536133,19006.147455029855337
92598,Woodland,Broadleaved,England,100.404588472000000,1004045.884647369384766,13357.748899592805174
92749,Woodland,Broadleaved,England,72.061429830400002,720614.298202514648438,13161.090815439172729
92801,Woodland,Broadleaved,England,62.087303622699999,620873.036174774053507,12138.660378653308726
92959,Woodland,Broadleaved,England,75.788428505200002,757884.285030364990234,10896.293472438694153
93018,Woodland,Broadleaved,England,58.553287843600003,585532.878459930419922,15346.743923822850775
93034,Woodland,Broadleaved,England,92.223129134100006,922231.291244506719522,16081.808748081051817
93542,Woodland,Broadleaved,England,58.845230362000002,588452.303672790527344,8597.129924336684780
93676,Woodland,Broadleaved,England,101.589335966999997,1015893.359613418579102,15414.972205785212282
93832,Woodland,Broadleaved,England,158.626727187999990,1586267.271863937377930,21044.512943927278684
94142,Woodland,Broadleaved,England,73.507566918400002,735075.669162750244141,14024.106667990026835
94296,Woodland,Broadleaved,England,72.317864521700002,723178.645143508911133,12458.298866416726014
94629,Woodland,Broadleaved,England,51.248005291900000,512480.052856445312500,4726.089026925521466
94831,Woodland,Broadleaved,England,53.888715843800000,538887.158443450927734,9629.398530296986792
95083,Woodland,Broadleaved,England,180.252432999999996,1802524.329978942871094,22291.149110871316225
95137,Woodland,Broadleaved,England,82.311096427699994,823110.964305877685547,10138.587541305496416
95200,Woodland,Broadleaved,England,259.993961782999975,2599939.617771148681641,26773.139896116099408
95287,Woodland,Broadleaved,England,103.770360338000003,1037703.603580474853516,13238.259564390435116
